Ingenio,Hacienda,Suerte,Municipio,Corregimiento,Codigo_14,Municipio_Clean,h8,Es_Hacienda_Ausente,Hda_Real,DAR,NOM_DAR
Providencia,EL ROSARIO ARBOLEDA,35,El Cerrito,nd,PR080423000035,EL CERRITO,PR080423,TRUE,EL ROSARIO ARBOLEDA,CENTRO SUR,CENTRO SUR
Providencia,MORAIMA,4,El Cerrito,nd,PR081108000004,EL CERRITO,PR081108,TRUE,MORAIMA,CENTRO SUR,CENTRO SUR
Providencia,LA MANSION CARMEN,3,El Cerrito,nd,PR080165000003,EL CERRITO,PR080165,TRUE,LA MANSION CARMEN,CENTRO SUR,CENTRO SUR
Providencia,SAN FERNANDO,007B,El Cerrito,nd,PR08033700007B,EL CERRITO,PR080337,TRUE,SAN FERNANDO,SURORIENTE,CENTRO SUR
Providencia,LA AURORA,100B,El Cerrito,nd,PR08010300100B,EL CERRITO,PR080103,TRUE,LA AURORA,CENTRO SUR,CENTRO SUR
Providencia,LA MERCED GARCES,001C,El Cerrito,nd,PR08018600001C,EL CERRITO,PR080186,TRUE,LA MERCED GARCES,CENTRO SUR,CENTRO SUR
Providencia,VILLA MERCEDES,3,El Cerrito,nd,PR080129000003,EL CERRITO,PR080129,TRUE,VILLA MERCEDES,CENTRO SUR,CENTRO SUR
Providencia,MORAIMA,001B,El Cerrito,nd,PR08110800001B,EL CERRITO,PR081108,TRUE,MORAIMA,CENTRO SUR,CENTRO SUR
Providencia,LA CRISTALINA-TORRE LUNERA,001B,El Cerrito,nd,PR08026100001B,EL CERRITO,PR080261,TRUE,LA CRISTALINA-TORRE LUNERA,CENTRO SUR,CENTRO SUR
Providencia,LA PRIMAVERA,372A,El Cerrito,nd,PR08011200372A,EL CERRITO,PR080112,TRUE,LA PRIMAVERA,CENTRO SUR,CENTRO SUR
Providencia,LA AURORA,118D,El Cerrito,nd,PR08010300118D,EL CERRITO,PR080103,TRUE,LA AURORA,CENTRO SUR,CENTRO SUR
Providencia,EL JAPON,556,El Cerrito,nd,PR080116000556,EL CERRITO,PR080116,TRUE,EL JAPON,CENTRO SUR,CENTRO SUR
Providencia,EL CASTILLITO,1,El Cerrito,nd,PR080664000001,EL CERRITO,PR080664,TRUE,EL CASTILLITO,CENTRO SUR,CENTRO SUR
Providencia,LA AURORA,117A,El Cerrito,nd,PR08010300117A,EL CERRITO,PR080103,TRUE,LA AURORA,CENTRO SUR,CENTRO SUR
Providencia,LA ARGELIA,362B,El Cerrito,nd,PR08011100362B,EL CERRITO,PR080111,TRUE,LA ARGELIA,CENTRO SUR,CENTRO SUR
Providencia,ZABALETAS 2 ARANGO,1,El Cerrito,nd,PR080309000001,EL CERRITO,PR080309,TRUE,ZABALETAS 2 ARANGO,CENTRO SUR,CENTRO SUR
